Id,Route,Group,Length
426,Silvered lane,searoutes,1028 km
182,Kizartec trail,trails,1023 km
458,Moon water way,searoutes,1019 km
495,Unnamed route,searoutes,1011 km
441,The Fabled Aurora route,searoutes,1010 km
42,Boulhallsean pass,trails,996 km
8,The Great Zugrish road,roads,990 km
210,Shatharar trail,trails,989 km
398,Khanan trail,trails,982 km
243,Duzec path,trails,982 km
39,Vorgunhean trail,trails,973 km
30,Mernaram trail,trails,972 km
260,Kalbredh trail,trails,966 km
478,Cloudhollean lane,searoutes,965 km
218,Drard trail,trails,958 km
445,Thelt water way,searoutes,957 km
418,Dewgcoast lane,searoutes,957 km
342,Whisperwind trail,trails,953 km
360,Arcane trail,trails,952 km
443,Yulfond route,searoutes,948 km
249,Vrobrokh trail,trails,947 km
49,Sigkangar trail,trails,947 km
6,Crimson road,roads,944 km
365,Gler track,trails,941 km
90,Freyshield trail,trails,940 km
201,Tlindhean trail,trails,939 km
252,Moonlit trail,trails,937 km
147,Nel-Sin trail,trails,935 km
417,The Obscure Shadow route,searoutes,933 km
416,Cloudwich route,searoutes,925 km
164,Rorestan pass,trails,922 km
143,Dulnargan path,trails,922 km
20,Duzecan road,roads,915 km
376,Strytan pass,trails,907 km
57,Scorcross trail,trails,901 km
223,Khathiz trail,trails,899 km
275,The Great Kalbredh trail,trails,899 km
44,Oadowfalls track,trails,886 km
190,Gahourg track,trails,885 km
73,Unnamed route segment,trails,879 km
40,Drunulese trail,trails,879 km
96,The Fabled Yudgrimfan pass,trails,877 km
231,Ararguled trail,trails,874 km
79,Irranntyr path,trails,872 km
153,Velkunese trail,trails,870 km
156,Wolfront path,trails,868 km
296,Brian pass,trails,864 km
455,Forest water way,searoutes,850 km
193,Unnamed route segment,trails,840 km
113,Grasstar trail,trails,838 km
112,Naram trail,trails,834 km
102,Guzinardean track,trails,831 km
126,Unanlebelese pass,trails,827 km
170,Unnamed route segment,trails,824 km
109,The Serpentine Faymouth trail,trails,823 km
51,Oxbreak trail,trails,823 km
158,Kindushund trail,trails,815 km
425,Guzinardean route,searoutes,811 km
246,Vrobrokh trail,trails,805 km
217,Evrarireth pass,trails,800 km
269,Bulbruzan track,trails,796 km
273,Suirx pass,trails,792 km
306,Brug trail,trails,790 km
280,The Fabled Zrazred track,trails,788 km
117,Yudgrimfan path,trails,786 km
400,Bayan Agt trail,trails,778 km
350,Unnamed route segment,trails,772 km
230,Galgrimfan trail,trails,768 km
78,Jeweled pass,trails,764 km
436,Unnamed route,searoutes,756 km
385,Stroian trail,trails,755 km
359,Krigh track,trails,754 km
438,The Cobbled Cerulean lane,searoutes,753 km
85,Unnamed route segment,trails,751 km
136,Shemlaran track,trails,751 km
62,Gorthiz trail,trails,748 km
244,Unnamed route segment,trails,748 km
33,Rusthclif trail,trails,746 km
34,Unnamed route segment,trails,731 km
46,Freyspellese trail,trails,726 km
401,Brozighean route,searoutes,722 km
324,The Echoing Theltan trail,trails,721 km
314,Arcane trail,trails,719 km
196,Draunyrang trail,trails,717 km
221,Unnamed route segment,trails,711 km
144,Garakhaz track,trails,710 km
99,Infernal trail,trails,710 km
118,Unnamed route segment,trails,708 km
281,Unnamed route segment,trails,706 km
82,The Frosty Shathabunese track,trails,699 km
168,Unnamed route segment,trails,682 km
388,Unnamed route segment,trails,680 km
241,Unnamed route segment,trails,675 km
278,Brian trail,trails,667 km
181,Unnamed route segment,trails,664 km
305,Unnamed route segment,trails,660 km
106,Jalddaman pass,trails,654 km
75,Unnamed route segment,trails,653 km
442,Unnamed route,searoutes,652 km
213,Throthug pass,trails,652 km
93,Cragmeavenese trail,trails,645 km
101,Unnamed route segment,trails,645 km
59,Olazigian trail,trails,640 km
344,Unnamed route segment,trails,639 km
140,Unnamed route segment,trails,638 km
132,Unnamed route segment,trails,637 km
98,Unnamed route segment,trails,636 km
341,Givziean pass,trails,628 km
114,The Echoing Yorildean trail,trails,627 km
125,Unnamed route segment,trails,624 km
317,Unnamed route segment,trails,619 km
146,Zugkerozig trail,trails,616 km
128,Unnamed route segment,trails,615 km
199,The Sacred Kinez path,trails,614 km
139,Unnamed route segment,trails,614 km
381,Unnamed route segment,trails,613 km
363,Unnamed route segment,trails,613 km
496,Old water way,searoutes,610 km
392,Thunder trail,trails,606 km
290,Unnamed route segment,trails,603 km
84,Unnamed route segment,trails,597 km
149,Unnamed route segment,trails,593 km
396,Shayangorvanian trail,trails,591 km
127,Unnamed route segment,trails,586 km
94,Unnamed route segment,trails,581 km
145,Unnamed route segment,trails,580 km
176,Unnamed route segment,trails,574 km
256,Unnamed route segment,trails,569 km
236,Froth track,trails,567 km
362,Unnamed route segment,trails,566 km
70,Unnamed route segment,trails,565 km
282,Unnamed route segment,trails,558 km
253,Unnamed route segment,trails,556 km
364,Ghosthtownese trail,trails,551 km
71,Unnamed route segment,trails,550 km
390,Fyglian path,trails,550 km
394,Ervanese pass,trails,546 km
386,Unnamed route segment,trails,545 km
131,Unnamed route segment,trails,543 km
32,Unnamed route segment,trails,537 km
179,Unnamed route segment,trails,536 km
54,Unnamed route segment,trails,534 km
254,Unnamed route segment,trails,532 km
307,Unnamed route segment,trails,529 km
485,Veekzan route,searoutes,528 km
154,Unnamed route segment,trails,528 km
172,Unnamed route segment,trails,525 km
337,Astral path,trails,521 km
211,The Fabled Nuzanese track,trails,519 km
309,Unnamed route segment,trails,519 km
301,Unnamed route segment,trails,517 km
138,Unnamed route segment,trails,516 km
123,Unnamed route segment,trails,515 km
130,Unnamed route segment,trails,515 km
234,Unnamed route segment,trails,512 km
383,Unnamed route segment,trails,511 km
382,Paas trail,trails,511 km
215,Unnamed route segment,trails,510 km
259,Unnamed route segment,trails,509 km
257,The Cracked Rekxan trail,trails,507 km
148,Unnamed route segment,trails,506 km
287,Unnamed route segment,trails,497 km
56,Lindizarkian pass,trails,496 km
285,Unnamed route segment,trails,496 km
161,Unnamed route segment,trails,496 km
288,Unnamed route segment,trails,493 km
122,Unnamed route segment,trails,488 km
157,Genosanil trail,trails,488 km
271,Rekx path,trails,483 km
169,Unnamed route segment,trails,482 km
238,Unnamed route segment,trails,481 km
334,Unnamed route segment,trails,481 km
315,Unnamed route segment,trails,479 km
166,Unnamed route segment,trails,473 km
272,Unnamed route segment,trails,473 km
310,Unnamed route segment,trails,469 km
195,Unnamed route segment,trails,469 km
135,Unnamed route segment,trails,467 km
338,Unnamed route segment,trails,467 km
69,Unnamed route segment,trails,465 km
192,Unnamed route segment,trails,463 km
298,Unnamed route segment,trails,462 km
162,Unnamed route segment,trails,462 km
291,Unnamed route segment,trails,461 km
327,Unnamed route segment,trails,460 km
255,Unnamed route segment,trails,460 km
373,Unnamed route segment,trails,460 km
105,Unnamed route segment,trails,459 km
66,Cragmeavenese trail,trails,458 km
142,Unnamed route segment,trails,456 km
212,Unnamed route segment,trails,450 km
440,Unnamed route segment,searoutes,448 km
100,Unnamed route segment,trails,445 km
37,Unnamed route segment,trails,443 km
250,Unnamed route segment,trails,434 km
226,Unnamed route segment,trails,428 km
160,Unnamed route segment,trails,425 km
92,Unnamed route segment,trails,421 km
227,Unnamed route segment,trails,420 km
316,Unnamed route segment,trails,420 km
159,Unnamed route segment,trails,417 km
493,Unnamed route segment,searoutes,417 km
228,Unnamed route segment,trails,407 km
300,Unnamed route segment,trails,406 km
266,Unnamed route segment,trails,403 km
452,Drayhost route,searoutes,400 km
501,Unnamed route segment,searoutes,397 km
65,Unnamed route segment,trails,395 km
466,Nurkenuz route,searoutes,395 km
237,Unnamed route segment,trails,395 km
67,Unnamed route segment,trails,394 km
352,Unnamed route segment,trails,394 km
60,Unnamed route segment,trails,392 km
263,Unnamed route segment,trails,391 km
295,Unnamed route segment,trails,386 km
393,Unnamed route segment,trails,385 km
87,Unnamed route segment,trails,383 km
12,Unnamed route segment,roads,380 km
119,Unnamed route segment,trails,375 km
229,Unnamed route segment,trails,374 km
165,Unnamed route segment,trails,373 km
312,Unnamed route segment,trails,372 km
502,Unnamed route segment,searoutes,372 km
414,Sshaumynat water way,searoutes,372 km
409,Unnamed route segment,searoutes,370 km
64,Unnamed route segment,trails,369 km
185,Unnamed route segment,trails,369 km
47,Unnamed route segment,trails,361 km
343,Unnamed route segment,trails,358 km
293,Vreagaban pass,trails,357 km
174,Unnamed route segment,trails,357 km
372,Unnamed route segment,trails,357 km
276,Unnamed route segment,trails,354 km
216,Unnamed route segment,trails,353 km
277,Unnamed route segment,trails,352 km
420,Unnamed route segment,searoutes,352 km
490,Unnamed route segment,searoutes,352 km
116,Unnamed route segment,trails,350 km
439,Unnamed route segment,searoutes,350 km
225,Unnamed route segment,trails,350 km
68,Unnamed route segment,trails,346 km
395,Unnamed route segment,trails,346 km
53,Unnamed route segment,trails,344 km
367,Unnamed route segment,trails,342 km
326,Unnamed route segment,trails,340 km
188,Unnamed route segment,trails,337 km
483,Cerulean lane,searoutes,333 km
191,Unnamed route segment,trails,332 km
200,Unnamed route segment,trails,329 km
178,Unnamed route segment,trails,326 km
222,Unnamed route segment,trails,324 km
431,Unnamed route segment,searoutes,322 km
103,Unnamed route segment,trails,316 km
150,Unnamed route segment,trails,311 km
499,The Sacred Jeweled route,searoutes,310 km
399,Unnamed route segment,trails,310 km
115,Unnamed route segment,trails,310 km
204,Unnamed route segment,trails,310 km
448,Scarlet passage,searoutes,307 km
321,Unnamed route segment,trails,306 km
433,Unnamed route segment,searoutes,305 km
220,Unnamed route segment,trails,303 km
108,Unnamed route segment,trails,301 km
81,Unnamed route segment,trails,300 km
294,Unnamed route segment,trails,297 km
152,Unnamed route segment,trails,295 km
180,Unnamed route segment,trails,294 km
299,Unnamed route segment,trails,292 km
335,Unnamed route segment,trails,292 km
38,Unnamed route segment,trails,290 km
89,Unnamed route segment,trails,290 km
397,Unnamed route segment,trails,287 km
232,Unnamed route segment,trails,286 km
173,Unnamed route segment,trails,285 km
374,Unnamed route segment,trails,283 km
318,Unnamed route segment,trails,281 km
467,Unnamed route segment,searoutes,281 km
121,Unnamed route segment,trails,280 km
322,Unnamed route segment,trails,280 km
504,The Great Moon passage,searoutes,280 km
503,Unnamed route segment,searoutes,274 km
339,Unnamed route segment,trails,273 km
209,Unnamed route segment,trails,271 km
76,Unnamed route segment,trails,270 km
480,Unnamed route segment,searoutes,269 km
379,Unnamed route segment,trails,269 km
80,Unnamed route segment,trails,265 km
303,Unnamed route segment,trails,264 km
86,Unnamed route segment,trails,263 km
462,Kluirman lane,searoutes,260 km
77,Unnamed route segment,trails,258 km
219,Unnamed route segment,trails,258 km
251,Unnamed route segment,trails,257 km
52,Unnamed route segment,trails,255 km
111,Unnamed route segment,trails,255 km
124,Unnamed route segment,trails,254 km
353,Unnamed route segment,trails,252 km
175,Unnamed route segment,trails,248 km
491,Zrian passage,searoutes,247 km
304,Unnamed route segment,trails,247 km
245,Unnamed route segment,trails,247 km
437,Unnamed route segment,searoutes,238 km
235,Unnamed route segment,trails,237 km
50,Unnamed route segment,trails,236 km
155,Unnamed route segment,trails,234 km
447,Unnamed route segment,searoutes,233 km
186,Unnamed route segment,trails,231 km
348,Unnamed route segment,trails,230 km
477,Unnamed route segment,searoutes,223 km
358,Unnamed route segment,trails,222 km
177,Unnamed route segment,trails,222 km
110,Unnamed route segment,trails,221 km
91,Unnamed route segment,trails,221 km
428,Unnamed route segment,searoutes,219 km
369,Unnamed route segment,trails,216 km
346,Unnamed route segment,trails,216 km
492,Unnamed route segment,searoutes,216 km
469,Unnamed route segment,searoutes,216 km
336,Unnamed route segment,trails,215 km
332,Unnamed route segment,trails,211 km
347,Unnamed route segment,trails,211 km
333,Unnamed route segment,trails,201 km
505,Unnamed route segment,searoutes,198 km
41,Unnamed route segment,trails,195 km
88,Unnamed route segment,trails,194 km
63,Unnamed route segment,trails,193 km
187,Unnamed route segment,trails,192 km
205,Unnamed route segment,trails,191 km
208,Unnamed route segment,trails,188 km
189,Unnamed route segment,trails,182 km
384,Unnamed route segment,trails,181 km
375,Unnamed route segment,trails,177 km
460,Unnamed route segment,searoutes,176 km
497,Unnamed route segment,searoutes,174 km
487,Unnamed route segment,searoutes,173 km
403,Unnamed route segment,searoutes,171 km
203,Unnamed route segment,trails,168 km
224,Unnamed route segment,trails,165 km
474,Unnamed route segment,searoutes,164 km
283,Unnamed route segment,trails,163 km
389,Unnamed route segment,trails,160 km
402,Unnamed route segment,searoutes,158 km
421,Unnamed route segment,searoutes,156 km
370,Unnamed route segment,trails,156 km
120,Unnamed route segment,trails,155 km
356,Unnamed route segment,trails,154 km
163,Unnamed route segment,trails,153 km
349,Unnamed route segment,trails,153 km
468,Unnamed route segment,searoutes,143 km
378,Unnamed route segment,trails,142 km
488,Unnamed route segment,searoutes,139 km
481,Unnamed route segment,searoutes,129 km
406,Unnamed route segment,searoutes,126 km
444,Unnamed route segment,searoutes,115 km
391,Unnamed route segment,trails,112 km
329,Unnamed route segment,trails,112 km
459,Unnamed route segment,searoutes,107 km
262,Unnamed route segment,trails,99 km
274,Unnamed route segment,trails,98 km
471,Unnamed route segment,searoutes,72 km
