Id,River,Type,Discharge,Length,Width,Basin
31,Oraneliz,River,136 m³/s,857 km,0.32 km,Oraneliz
69,Srurd,River,134 m³/s,753 km,0.36 km,Srurd
233,Murgubud,River,132 m³/s,1887 km,0.48 km,Murgubud
205,Agielt,River,130 m³/s,1132 km,0.4 km,Agielt
9,Norkizir,Fork,129 m³/s,1371 km,0.28 km,Berolazin
169,Rinarnelhe,River,125 m³/s,911 km,0.28 km,Oxbrook
12,Kegkan,Fork,123 m³/s,978 km,0.28 km,Berolazin
208,Scorchill,River,122 m³/s,847 km,0.36 km,Scorchill
426,Dashinch Uur,River,122 m³/s,553 km,0.32 km,Dashinch Uur
157,Bukex,River,121 m³/s,1399 km,0.36 km,Bukex
163,Dewgrasp,River,119 m³/s,1342 km,0.36 km,Dewgrasp
83,Cryshellde,River,117 m³/s,1834 km,0.4 km,Cryshellde
229,Shavenpass,River,117 m³/s,1356 km,0.32 km,Oxbrook
425,Liantiet,River,115 m³/s,531 km,0.2 km,Liantiet
30,Dugheru,Fork,114 m³/s,679 km,0.16 km,Berolazin
63,Velkug,Fork,114 m³/s,1456 km,0.28 km,Oxbrook
186,Buyagh,River,113 m³/s,1009 km,0.32 km,Buyagh
236,Giggalx,River,112 m³/s,848 km,0.36 km,Giggalx
369,Bouldyard,River,111 m³/s,345 km,0.24 km,Bouldyard
61,Chazdin,River,110 m³/s,1549 km,0.28 km,Oxbrook
77,Oadefair,River,108 m³/s,971 km,0.32 km,Oadefair
109,Watliaq,River,108 m³/s,1094 km,0.24 km,Thres
433,Rearingra,River,108 m³/s,433 km,0.2 km,Rearingra
134,Orkudh,River,105 m³/s,1373 km,0.36 km,Orgugekh
149,Pyreaz,River,105 m³/s,936 km,0.16 km,Orgugekh
239,Nilx,River,104 m³/s,672 km,0.24 km,Nilx
370,Kas,River,104 m³/s,774 km,0.36 km,Kas
82,Mathenasha,River,102 m³/s,1639 km,0.32 km,Keatha
167,Qiccug,River,102 m³/s,977 km,0.36 km,Qiccug
240,Rangarth,River,102 m³/s,624 km,0.2 km,Rangarth
266,Biokvact,River,101 m³/s,334 km,0.24 km,Biokvact
41,Honklig,River,100 m³/s,1102 km,0.32 km,Honklig
262,Chiaftaxi,River,100 m³/s,713 km,0.36 km,Chiaftaxi
431,Cholluq,River,99 m³/s,473 km,0.24 km,Cholluq
40,Yozigbeorn,River,98 m³/s,958 km,0.24 km,Oxbrook
152,Hardistoch,River,98 m³/s,549 km,0.2 km,Hardistoch
314,Yiragz,River,98 m³/s,669 km,0.32 km,Yiragz
371,Malton,River,98 m³/s,463 km,0.2 km,Malton
80,Lysalin,River,97 m³/s,1285 km,0.28 km,Keatha
172,Winkneth,River,97 m³/s,394 km,0.2 km,Winkneth
321,Quatham,River,96 m³/s,511 km,0.2 km,Quatham
3,Lastshield,Fork,95 m³/s,1153 km,0.24 km,Mudhillhall
74,Seamerster,River,95 m³/s,1312 km,0.28 km,Bodgeso
201,Klilmzois,Fork,95 m³/s,722 km,0.2 km,Croila
521,Osbury,River,94 m³/s,370 km,0.2 km,Osbury
27,Throtreo,Fork,93 m³/s,787 km,0.12 km,Berolazin
34,Timouth,River,93 m³/s,1757 km,0.32 km,Thornhelm
52,Vozigzund,River,93 m³/s,550 km,0.2 km,Vozigzund
45,Sigkan,River,91 m³/s,634 km,0.2 km,Sigkan
49,Eenqi,River,91 m³/s,1385 km,0.28 km,Orgugekh
518,Sholererid,River,91 m³/s,809 km,0.32 km,Sholererid
36,Felssadi,Fork,90 m³/s,1044 km,0.24 km,Bodgeso
78,Imegrorest,River,90 m³/s,875 km,0.32 km,Imegrorest
522,Kilkhamp,River,88 m³/s,505 km,0.24 km,Kilkhamp
235,Aimyranghed,River,87 m³/s,723 km,0.32 km,Aimyranghed
237,Wrog,River,87 m³/s,691 km,0.24 km,Wrog
158,Gorkeldond,River,85 m³/s,728 km,0.2 km,Kyathtanase
319,Elderde,River,85 m³/s,423 km,0.2 km,Elderde
92,Bogkigh,River,83 m³/s,1251 km,0.36 km,Bogkigh
184,Glerdeek,River,83 m³/s,963 km,0.36 km,Glerdeek
427,Brazin,River,83 m³/s,789 km,0.32 km,Brazin
73,Mesidor,River,81 m³/s,1183 km,0.24 km,Keatha
432,Shirenelen,River,80 m³/s,559 km,0.2 km,Shirenelen
279,Evralin,River,79 m³/s,1351 km,0.36 km,Evralin
151,Swagielt,River,78 m³/s,778 km,0.2 km,Swagielt
210,Kluirm,River,78 m³/s,1083 km,0.28 km,Kluirm
264,Qosx,River,78 m³/s,581 km,0.2 km,Qosx
113,Farmzois,River,77 m³/s,923 km,0.32 km,Farmzois
206,Curnere,River,77 m³/s,849 km,0.28 km,Curnere
436,Preshil,River,76 m³/s,271 km,0.16 km,Preshil
283,Earimyran,River,75 m³/s,1054 km,0.32 km,Earimyran
105,Seabingra,Fork,73 m³/s,840 km,0.16 km,Bodgeso
146,Dhez,River,72 m³/s,443 km,0.16 km,Nogkigh
241,Brat,River,72 m³/s,593 km,0.2 km,Brat
62,Klishashus,River,70 m³/s,1103 km,0.24 km,Bodgeso
139,Elrock,River,69 m³/s,663 km,0.2 km,Elrock
174,Pyreaz,River,69 m³/s,539 km,0.16 km,Pyreaz
182,Onelion,River,69 m³/s,476 km,0.16 km,Shenilhona
289,Skiple,River,69 m³/s,357 km,0.2 km,Skiple
290,Steamer,River,68 m³/s,408 km,0.2 km,Steamer
287,Sleh,River,67 m³/s,409 km,0.16 km,Sleh
242,Fearmimegro,River,66 m³/s,495 km,0.2 km,Fearmimegro
125,Kilwoluch,River,65 m³/s,715 km,0.16 km,Oxbrook
202,Fruict,River,65 m³/s,589 km,0.12 km,Thres
428,Sirongport,River,65 m³/s,467 km,0.2 km,Sirongport
43,Fayhost,River,64 m³/s,555 km,0.16 km,Fayhost
54,Ireguard,River,64 m³/s,1112 km,0.32 km,Ireguard
93,Shanu,Fork,64 m³/s,1015 km,0.24 km,Kharic
173,Cielb,River,64 m³/s,380 km,0.16 km,Cielb
318,Ikhkhairgon,River,63 m³/s,434 km,0.16 km,Ikhkhairgon
434,Aplereton,River,63 m³/s,467 km,0.16 km,Aplereton
118,Thynead,River,62 m³/s,715 km,0.16 km,Warhampound
435,Khalh Uul,River,62 m³/s,388 km,0.16 km,Khalh Uul
95,Drunartec,River,61 m³/s,810 km,0.24 km,Oxbrook
263,Brid,River,61 m³/s,653 km,0.2 km,Brid
284,Nefose,River,61 m³/s,580 km,0.16 km,Nefose
212,Flakenmose,River,60 m³/s,633 km,0.2 km,Flakenmose
147,Holworthton,River,59 m³/s,1716 km,0.36 km,Holworthton
243,Ehelmouth,River,59 m³/s,602 km,0.16 km,Ehelmouth
278,Ollmlumeri,River,59 m³/s,523 km,0.16 km,Warhampound
438,Hatfordling,River,58 m³/s,511 km,0.16 km,Hatfordling
288,Celkeh,River,57 m³/s,516 km,0.16 km,Celkeh
120,Quathamney,Fork,56 m³/s,1550 km,0.28 km,Bodgeso
286,Raugausthyr,River,56 m³/s,439 km,0.16 km,Raugausthyr
429,Glam,River,56 m³/s,474 km,0.2 km,Glam
53,Brildond,River,55 m³/s,513 km,0.12 km,Oxbrook
160,Hobok,River,55 m³/s,442 km,0.16 km,Thres
132,Yinez,Fork,54 m³/s,516 km,0.12 km,Oxbrook
141,Eszi,River,54 m³/s,753 km,0.16 km,Eszi
86,Mathelnesa,River,53 m³/s,595 km,0.12 km,Shenilhona
181,Treaq,River,53 m³/s,842 km,0.28 km,Treaq
170,Veekz,River,52 m³/s,555 km,0.16 km,Veekz
228,Nulkegfast,Fork,52 m³/s,451 km,0.12 km,Oxbrook
316,Ghegroc,River,51 m³/s,611 km,0.16 km,Ghegroc
121,Watchbrid,River,50 m³/s,791 km,0.2 km,Bodgeso
148,Fynkuc,River,50 m³/s,654 km,0.12 km,Berolazin
168,Kluirdeek,Fork,50 m³/s,398 km,0.12 km,Gnok
265,Mistval,River,50 m³/s,588 km,0.16 km,Mistval
207,Gneablin,Fork,49 m³/s,854 km,0.12 km,Ulbshas
320,Cinch,River,49 m³/s,521 km,0.16 km,Cinch
185,Dratewell,River,48 m³/s,797 km,0.12 km,Scorchill
523,Bucheapton,River,47 m³/s,421 km,0.16 km,Bucheapton
64,Bhurk,River,46 m³/s,722 km,0.12 km,Nogkigh
35,Tigfast,River,44 m³/s,757 km,0.12 km,Oxbrook
38,Emelssadrin,River,44 m³/s,1192 km,0.24 km,Keatha
76,Galgkangar,River,43 m³/s,551 km,0.12 km,Oxbrook
91,Moggan,River,43 m³/s,665 km,0.12 km,Orgugekh
104,Himlienathil,River,43 m³/s,475 km,0.12 km,Keatha
50,Shathiz,River,42 m³/s,385 km,0.12 km,Stormouth
119,Thyrang,River,41 m³/s,604 km,0.12 km,Keatha
261,Ryalas,Fork,41 m³/s,735 km,0.2 km,Kyathtanase
89,Drogmorb,River,36 m³/s,672 km,0.12 km,Zaccoz
