Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Group,Population,X,Y,Latitude,Longitude,Elevation (m),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,Preview link
11,Phig,Phig,Phig Province,Biok,Republic of Biok,狗头人（哥布林）,Old Gneabligzism,capital,6146,4195.63,1651.23,30.65,-29.18,64,16°C,Dubrovnik (Croatia),capital,port,citadel,walls,,,,{t1:vert;charges:[{charge:shipWheel;t:argent;p:e;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Phig&population=6146&size=26&seed=1234182160011&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural&sea=0.11
12,Bug,Nildai,Nildai County,Bug,Duchy of Bug,狗头人（哥布林）,Old Gneabligzism,capital,12581,3375.04,2607.48,-3.72,-58.68,25,30°C,Khartoum (Sudan),capital,port,citadel,walls,,,,{t1:argent;charges:[{charge:helmetZischagge;t:sable;p:e;size:1.5;sinister:1}];shield:culture},https://watabou.github.io/city-generator/?name=Bug&population=12581&size=34&seed=1234182160012&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural&sea=1.9
13,Phax,Phax,Phax Department,Engai,Republic of Engai,狗头人（哥布林）,Old Gneabligzism,capital,8532,2890.33,2950.8,-16.06,-76.1,25,28°C,Bangkok (Thailand),capital,,citadel,walls,plaza,,,{t1:argent;charges:[{charge:triangle;t:azure;p:def;size:0.5}];shield:culture},https://watabou.github.io/city-generator/?name=Phax&population=8532&size=29&seed=1234182160013&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=1&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural
14,Dretheas,Dretheas,Dretheas Barony,Olerin,Olerin Empire,昆雅（精灵）,昆雅（精灵） Druidism,capital,8379,6390.21,1508.85,35.77,49.7,484,7°C,Montreal (Canada),capital,,citadel,walls,,,,{t1:argent;division:{division:perPale;t:sable;line:straight};ordinaries:[{ordinary:pale;t:azure;line:straight;divided:counter}];shield:culture},https://watabou.github.io/city-generator/?name=Dretheas&population=8379&size=29&seed=1234182160014&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
15,Elase,Adhelumye,Adhelumye County,Kyathlulil,Kingdom of Kyathlulil,昆雅（精灵）,昆雅（精灵） Druidism,capital,9869,5632.97,1679.64,29.63,22.48,100,15°C,Rome (Italy),capital,,citadel,walls,,,,{t1:or;charges:[{charge:hand;t:sable;p:abc;size:0.5}];shield:culture},https://watabou.github.io/city-generator/?name=Elase&population=9869&size=31&seed=1234182160015&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
16,Duzec,Golzog,Golzog County,Grur,Gruran Marches,乌鲁克（兽人）,乌鲁克（兽人） Beliefs,capital,18508,2917.69,1947.19,20.01,-75.12,900,17°C,Lisbon (Portugal),capital,port,citadel,walls,,,,{t1:purpure;charges:[{charge:helmetGreat;t:argent;p:kn;size:0.7}];shield:culture},https://watabou.github.io/city-generator/?name=Duzec&population=18508&size=39&seed=1234182160016&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
17,Memruch,Brem,Brem Earldom,Giruzar,Giruzar Empire,尤顿（巨人）,Embergrakecism,capital,65567,7572.3,2421.68,2.96,92.19,64,30°C,Khartoum (Sudan),capital,port,citadel,walls,plaza,temple,shanty town,{t1:sable;ordinaries:[{ordinary:cross;t:argent;line:straight}];charges:[{charge:roundel2;t:gules;p:beh;size:0.3}];shield:culture},https://watabou.github.io/city-generator/?name=Memruch&population=65567&size=63&seed=1234182160017&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=0&plaza=1&greens=1&temple=1&walls=1&shantytown=1&style=natural
18,Cryshield,Cryshield,Cryshield County,Milstar,Kingdom of Milstar,阿诺（人类）,Embergrakecism,capital,22885,6531.64,3354.28,-30.56,54.79,169,19°C,Marrakesh (Morocco),capital,port,citadel,walls,plaza,temple,shanty town,{t1:argent;ordinaries:[{ordinary:fessCotissed;t:gules;line:straight}];charges:[{charge:dragonRampant;t:sable;p:e;t2:sable;t3:purpure;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Cryshield&population=22885&size=42&seed=1234182160018&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=1&plaza=1&greens=1&temple=1&walls=1&shantytown=1&style=natural&sea=1.11
19,Eliemaran,Olulilne,Olulilne Prefecture,Yethmel,Republic of Yethmel,昆雅（精灵）,昆雅（精灵） Druidism,capital,4606,8025.09,1285.06,43.81,108.47,16,5°C,Harbin (China),capital,port,citadel,walls,,,,{t1:sable;ordinaries:[{ordinary:bordure;t:argent}];charges:[{charge:billet;t:sable;p:ABCDEFGHIJKL;size:0.18};{charge:eagleTwoHeads;t:or;p:e;size:1.1}];shield:culture},https://watabou.github.io/city-generator/?name=Eliemaran&population=4606&size=23&seed=1234182160019&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural&sea=0.45
20,Myths,Laughed,Laughed County,Karion,Protectorate of Karion,昆雅（精灵）,昆雅（精灵） Druidism,capital,35032,7401.05,1513.21,35.61,86.04,196,9°C,Copenhagen (Denmark),capital,,citadel,walls,plaza,temple,,{t1:gules;division:{division:perFess;t:bendy-vert-argent-smaller;line:flechy};charges:[{charge:heart;t:or;p:k;size:0.7};{charge:arrowsSheaf;t:or;p:n;size:0.7}];shield:culture},https://watabou.github.io/city-generator/?name=Myths&population=35032&size=50&seed=1234182160020&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=1&plaza=1&greens=1&temple=1&walls=1&shantytown=0&style=natural
21,Veekz,Zighel,Zighel Barony,Zrio,Kingdom of Zrio,狗头人（哥布林）,Old Gneabligzism,town,8443,2097.7,3221.03,-25.77,-104.6,16,23°C,Rio de Janeiro (Brazil),,port,citadel,,,,,{t1:purpure;charges:[{charge:eagle;t:or;p:e;t2:argent;t3:or;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Veekz&population=8443&size=29&seed=1234182160021&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=1.82
22,Croi,Croi,Croi Canton,Engai,Republic of Engai,狗头人（哥布林）,Old Gneabligzism,town,10429,2929.88,2839.66,-12.06,-74.68,36,29°C,Niamey (Niger),,,,,,,,{t1:azure;charges:[{charge:plough;t:argent;p:e;t2:argent;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Croi&population=10429&size=31&seed=1234182160022&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
23,Throthoza,Bothizda,Bothizda County,Solka,Kingdom of Solka,尤顿（巨人）,尤顿（巨人） Druidism,village,1449,8281.2,2223.46,10.08,117.68,1764,17°C,Lisbon (Portugal),,,,,,,,{t1:gules;ordinaries:[{ordinary:chevron;t:argent}];charges:[{charge:plough;t:or;p:e;t2:or;size:1.5}];shield:culture},https://watabou.github.io/village-generator/?pop=1449&name=Throthoza&seed=1234182160023&width=1400&height=683&style=default&tags=dead+end%2Cfarmland%2Cno+square%2Cdense
24,Shizses,Ynathes,Ynathes Captaincy,Kyathlulil,Kingdom of Kyathlulil,阿拉戈（蛛形）,Deities of the Amber Cold,town,3054,5119.67,1365.16,40.93,4.03,16,5°C,Harbin (China),,port,,,,,,{t1:or;ordinaries:[{ordinary:chevron;t:gules}];charges:[{charge:lymphad;t:or;p:ach;t2:or;t3:or;size:0.5}];shield:culture},https://watabou.github.io/city-generator/?name=Shizses&population=3054&size=20&seed=1234182160024&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=1.17
25,Grineneld,Grineneld,Grineneld County,Dawnwalia,Principality of Dawnwalia,阿诺（人类）,Embergrakecism,city,16048,8148.31,3522.9,-36.62,112.9,9,14°C,Washington (D.C.),,port,,walls,,,,{t1:sable;division:{division:perFess;t:argent;line:straight};charges:[{charge:drakkar;t:or;p:k;t2:or;t3:or;size:0.7};{charge:portcullis;t:purpure;p:n;size:0.7}];shield:culture},https://watabou.github.io/city-generator/?name=Grineneld&population=16048&size=37&seed=1234182160025&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural&sea=0.08
26,Wruil,Onq,Onq County,Brat,Principality of Brat,狗头人（哥布林）,Old Gneabligzism,city,14396,3159.99,2023.3,17.28,-66.41,676,21°C,Tegucigalpa (Honduras),,,citadel,,,,,{t1:or;charges:[{charge:bow;t:gules;p:e;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Wruil&population=14396&size=36&seed=1234182160026&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
27,Jortec,Brem,Brem Earldom,Giruzar,Giruzar Empire,尤顿（巨人）,Embergrakecism,village,1670,7574.87,2873.8,-13.29,92.29,64,29°C,Niamey (Niger),,,,,,,,{t1:argent;charges:[{charge:scythe;t:sable;p:jeo;t2:sable;size:0.5}];shield:culture},https://watabou.github.io/village-generator/?pop=1670&name=Jortec&seed=1234182160027&width=1600&height=780&style=default&tags=estuary%2Cdead+end%2Cno+orchards%2Cno+square%2Cdense
28,Broluch,Mernaram,Mernaram County,Milstar,Kingdom of Milstar,尤顿（巨人）,尤顿（巨人） Druidism,town,7216,6268.61,2894.55,-14.04,45.33,169,28°C,Bangkok (Thailand),,port,,walls,,,,{t1:barryBendy-or-gules;ordinaries:[{ordinary:crossParted;t:sable;line:straight}];charges:[{charge:shipWheel;t:argent;p:e;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Broluch&population=7216&size=27&seed=1234182160028&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
29,Phax,Phax,Phax County,Brat,Principality of Brat,狗头人（哥布林）,Old Gneabligzism,city,20473,3922.37,1701.07,28.86,-39.01,36,16°C,Dubrovnik (Croatia),,port,,walls,,,shanty town,{t1:azure;charges:[{charge:anchor;t:argent;p:e;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Phax&population=20473&size=41&seed=1234182160029&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=1&style=natural&sea=1.5
30,Sshaumynat,Rethe,Rethe Captaincy,Kyathlulil,Kingdom of Kyathlulil,昆雅（精灵）,昆雅（精灵） Druidism,town,11733,5074.98,1778.66,26.07,2.43,9,17°C,Lisbon (Portugal),,port,,,,,,{t1:argent;charges:[{charge:billet;t:azure;p:e;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Sshaumynat&population=11733&size=33&seed=1234182160030&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=0.69
31,Henohil,Thalya,Thalya County,Olerin,Olerin Empire,昆雅（精灵）,昆雅（精灵） Druidism,town,3383,6368.75,1380.33,40.39,48.93,324,4°C,Reykjavik (Iceland),,,,,,,,{t1:or;ordinaries:[{ordinary:bordure;t:azure}];charges:[{charge:fleurDeLis;t:or;p:ABCDEFGHIJKL;t2:or;t3:sable;size:0.18};{charge:boat;t:azure;p:e;size:1.1}];shield:culture},https://watabou.github.io/city-generator/?name=Henohil&population=3383&size=21&seed=1234182160031&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
32,Darkadab,Brem,Brem Earldom,Giruzar,Giruzar Empire,尤顿（巨人）,Embergrakecism,town,4236,7527.38,2791.18,-10.32,90.58,121,28°C,Bangkok (Thailand),,,,,,,,{t1:azure;ordinaries:[{ordinary:chevron;t:or}];charges:[{charge:pike;t:argent;p:e;t2:argent;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Darkadab&population=4236&size=22&seed=1234182160032&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
33,Driz,Bratliaq,Bratliaq Department,Engai,Republic of Engai,乌鲁克（兽人）,乌鲁克（兽人） Beliefs,village,1471,2704.41,2295.91,7.48,-82.79,1369,18°C,Barcelona (Spain),,,,,,,,{t1:ermine-argent-sable-smaller;charges:[{charge:inescutcheon;t:gules;p:e;size:1.5};{charge:crossFormee;t:argent;p:e;size:0.75}];shield:culture},https://watabou.github.io/village-generator/?pop=1471&name=Driz&seed=1234182160033&width=1400&height=683&style=default&tags=dead+end%2Cno+square%2Cdense
34,Nyteselalon,Unore,Unore County,Kyathlulil,Kingdom of Kyathlulil,昆雅（精灵）,昆雅（精灵） Druidism,town,8765,5746.31,2099.95,14.52,26.56,36,28°C,Bangkok (Thailand),,port,,,,,,{t1:or;ordinaries:[{ordinary:chevronReversed;t:azure}];charges:[{charge:crossMoline;t:azure;p:b;size:0.5}];shield:culture},https://watabou.github.io/city-generator/?name=Nyteselalon&population=8765&size=29&seed=1234182160034&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=1.06
35,Brathagab,Stryt,Stryt Province,Biok,Republic of Biok,狗头人（哥布林）,Old Gneabligzism,town,4507,4061.52,1619.99,31.77,-34,64,13°C,Milan (Italy),,,,,,,,{t1:argent;charges:[{charge:drum;t:gules;p:jln;t2:gules;t3:gules;size:0.7}];shield:culture},https://watabou.github.io/city-generator/?name=Brathagab&population=4507&size=23&seed=1234182160035&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
36,Innead,Shaulal,Shaulal County,Olerin,Olerin Empire,昆雅（精灵）,昆雅（精灵） Druidism,town,9189,6670.37,1667.98,30.05,59.77,529,13°C,Milan (Italy),,,citadel,,plaza,,,{t1:chainy-argent-vert;division:{division:perCross;t:gules;line:straight};shield:culture},https://watabou.github.io/city-generator/?name=Innead&population=9189&size=30&seed=1234182160036&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
37,Narnelka,Narnelka,Narnelka County,Digez,Digezan League,尤顿（巨人）,尤顿（巨人） Druidism,city,14037,8631.7,2402.08,3.66,130.28,2116,16°C,Dubrovnik (Croatia),,,,walls,plaza,,,{t1:purpure;division:{division:perBendSinister;t:or;line:wavy};charges:[{charge:annulet;t:argent;p:j;size:0.7};{charge:lionSejant;t:vert;p:o;size:0.7}];shield:culture},https://watabou.github.io/city-generator/?name=Narnelka&population=14037&size=35&seed=1234182160037&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural
38,Itheiheilera,Itheiheilera,Itheiheilera Barony,Olerin,Olerin Empire,昆雅（精灵）,昆雅（精灵） Druidism,city,20101,6678.03,1553.41,34.17,60.05,225,8°C,Prague (Czechia),,,citadel,walls,,temple,,{t1:chainy-argent-vert;charges:[{charge:crescent;t:vert;p:e;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Itheiheilera&population=20101&size=40&seed=1234182160038&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=0&plaza=0&greens=0&temple=1&walls=1&shantytown=0&style=natural
39,Ghedg,Ghodog,Ghodog County,Grur,Gruran Marches,乌鲁克（兽人）,乌鲁克（兽人） Beliefs,town,6147,2545.1,2012.46,17.67,-88.51,1296,18°C,Barcelona (Spain),,,,,,,,{t1:or;charges:[{charge:scissors2;t:azure;p:e;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Ghedg&population=6147&size=26&seed=1234182160039&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
40,Ryuethalon,Ryuethalon,Ryuethalon Barony,Olerin,Olerin Empire,昆雅（精灵）,昆雅（精灵） Druidism,town,6088,6528.56,1510.48,35.71,54.68,225,8°C,Prague (Czechia),,,,,,,,{t1:argent;charges:[{charge:anchor;t:purpure;p:e;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Ryuethalon&population=6088&size=26&seed=1234182160040&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
41,Joim,Qosx,Qosx Governorate,Engai,Republic of Engai,狗头人（哥布林）,Old Gneabligzism,city,13413,2330,3266.6,-27.41,-96.25,49,20°C,Alexandria (Egypt),,,,walls,,,,{t1:argent;charges:[{charge:archer;t:gules;p:jln;t2:gules;t3:gules;size:0.7}];shield:culture},https://watabou.github.io/city-generator/?name=Joim&population=13413&size=35&seed=1234182160041&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
42,Farnaahx,Wat,Wat Captaincy,Vreagab,Kingdom of Vreagab,狗头人（哥布林）,Old Gneabligzism,town,4641,3130.48,1610.78,32.1,-67.47,64,13°C,Milan (Italy),,,citadel,,,,,{t1:azure;charges:[{charge:log;t:argent;p:abc;size:0.5}];shield:culture},https://watabou.github.io/city-generator/?name=Farnaahx&population=4641&size=23&seed=1234182160042&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
43,Vrea,Ulm,Ulm Landgrave,Vreagab,Kingdom of Vreagab,狗头人（哥布林）,Old Gneabligzism,town,4844,2856.01,1885.65,22.23,-77.34,576,17°C,Lisbon (Portugal),,port,,,,,,{t1:argent;division:{division:perBendSinister;t:gules;line:straight};ordinaries:[{ordinary:pale;t:vert;line:straight}];charges:[{charge:caravel;t:vert;p:y;t2:vert;t3:azure;size:0.5}];shield:culture},https://watabou.github.io/city-generator/?name=Vrea&population=4844&size=24&seed=1234182160043&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
44,Ugualleanse,Nylmsenilwen,Nylmsenilwen Prefecture,Yethmel,Republic of Yethmel,昆雅（精灵）,昆雅（精灵） Druidism,town,4541,7761.59,1516.53,35.49,99,36,10°C,London (England),,port,,,,,,{t1:argent;division:{division:perCross;t:azure;line:dovetailedIndented};charges:[{charge:escallop;t:vert;p:j;size:0.6};{charge:hindStatant;t:argent;p:l;size:0.6};{charge:crossClechy;t:argent;p:m;size:0.6};{charge:ouroboros;t:purpure;p:o;size:0.6}];shield:culture},https://watabou.github.io/city-generator/?name=Ugualleanse&population=4541&size=23&seed=1234182160044&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
45,Sunkeep,Drayhost,Drayhost Earldom,Eartland,Grand Duchy of Eartland,阿诺（人类）,Embergrakecism,town,4633,7330.4,3507.99,-36.09,83.5,49,14°C,Washington (D.C.),,,,,,,,{t1:argent;charges:[{charge:dragonRampant;t:azure;p:jlh;t2:azure;t3:gules;size:0.7}];shield:culture},https://watabou.github.io/city-generator/?name=Sunkeep&population=4633&size=23&seed=1234182160045&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
46,Stioshas,Stryt,Stryt Governorate,Biok,Republic of Biok,狗头人（哥布林）,Old Gneabligzism,town,9395,4195.8,2138.2,13.15,-29.18,4,28°C,Bangkok (Thailand),,,,,,,,{t1:vert;division:{division:perPale;t:or;line:wavy};charges:[{charge:sun;t:argent;p:ABCDEFGHIJKL;t2:argent;size:0.18};{charge:arbalest;t:argent;p:e;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Stioshas&population=9395&size=30&seed=1234182160046&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
47,Dustcross,Drayhost,Drayhost Earldom,Eartland,Grand Duchy of Eartland,阿诺（人类）,Embergrakecism,town,2542,7286.82,3577.67,-38.59,81.93,9,12°C,Paris (France),,,,,,,,{t1:sable;charges:[{charge:griffinPassant;t:argent;p:e;t2:argent;t3:argent;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Dustcross&population=2542&size=18&seed=1234182160047&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
48,Paas,Gneabsil,Gneabsil County,Zrio,Kingdom of Zrio,狗头人（哥布林）,Old Gneabligzism,town,10888,1437.68,3648.57,-41.14,-128.32,196,8°C,Prague (Czechia),,port,,walls,,,,{t1:semy_of_mullet6-argent-sable-small;ordinaries:[{ordinary:bar;t:gules;line:straight}];shield:culture},https://watabou.github.io/city-generator/?name=Paas&population=10888&size=32&seed=1234182160048&river=0&coast=1&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural&sea=1.83
